,January,February,March,April,May,June,July
NO₂ LML | Breukelen-A2,83.49575572252549,64.83288516267022,59.12387299784631,54.744118186456156,59.14541944194111,66.74086336086675,47.67372332471535
NO₂ LML | Amsterdam-Haarlemmerweg,79.26593913545041,65.17394222054024,58.27360916525492,53.14292713522926,53.64398808071904,68.68430597936816,61.35431352722622
NO₂ LML | Hoofddorp-Hoofdweg,80.7141695946315,45.057841322908935,60.232020291681245,69.82387917909914,58.85987169506397,73.54116662390483,63.258249084196216
NO₂ LML | Amsterdam-Jan van Galenstraat,82.274382127344,60.32215659251934,63.014581579418596,63.07974165146554,61.25794423506001,73.17069464497695,64.52592981731506
NO₂ LML | Amsterdam-Oude Schans,85.70335770464932,57.24611590510901,59.03280579908572,64.12154370093549,62.728147403576756,73.40476415527509,65.76658374166117
NO₂ LML | Amsterdam-Stadhouderskade,91.63473687451945,64.83701493831546,63.016158216327895,57.98356230649329,60.247244548442076,66.59509025935894,65.67063794783247
NO₂ LML | Badhoevedorp-Sloterweg,91.08447908010926,55.17401951830769,62.640152572618,67.05944820306327,64.09028163894025,69.64637653913248,68.60566499669999
NO₂ LML | Amsterdam-Vondelpark,86.01974353816627,54.96420656833606,60.65860031135214,68.51819986904832,69.66468438407755,68.3409750395318,76.49327174594183
NO₂ LML | Amsterdam,87.7389877222305,58.414852166043346,63.2135484835387,67.84633002341425,66.33462167725963,76.8681722182157,66.71791467840154
NO₂ LML | Oude Meer-Aalsmeerderdijk,86.25580438831443,52.44312772642029,61.00812430918526,80.2434713692896,71.29301503653895,74.00285721216069,67.63697818833312
NO₂ LML | Haarlem-Schipholweg,82.33685337274046,51.37930444753594,64.68867434484463,77.9617325766104,67.05769481706709,83.00832957926393,66.76903518742793
NO₂ LML | Amsterdam-Ookmeer,92.39230466492995,45.460940041668984,54.76590028960161,75.1798624291454,70.73763851536631,84.40906496814843,70.71278630052235
NO₂ LML | Amsterdam-Einsteinweg,84.61872392531907,51.78135634985069,68.82857855997824,78.39330777382311,72.26223349654336,80.63078230040774,62.00033972244945
NO₂ LML | Amsterdam -Kantershof,86.53377245031844,57.24872016895532,62.582673412893506,68.79321627532259,68.92059700471464,83.61506082667515,71.89765263501762
NO₂ LML | Amsterdam-Van Diemenstraat,92.69263704081692,66.43135090193603,66.16279375681542,64.52135987371067,66.82597051449092,83.97816191659444,69.75131615686288
NO₂ LML | Amsterdam-Nieuwendammerdijk,89.85038835769396,63.69605722852659,66.46086043428099,68.21745644965803,75.4127004424373,83.75555301815938,81.54160145187927
NO₂ LML | Spaarnwoude-Machineweg,91.08291535528275,45.4217110769461,67.68525189466217,91.90378118645931,75.6902917496886,105.62420046860686,66.39022146010406
NO₂ LML | Zaanstad-Hoogtij,106.069639660309,63.29958897643845,74.91790586563121,79.48140636514569,86.32721392230174,92.30043608003345,77.45823800207451
NO₂ LML | Zaanstad-Hemkade,104.68986080777,77.97184045535116,76.16971644285981,76.57640025261793,83.35377759985053,87.46273473255494,94.56362533583595
